customer_id,name,age,loyalty_member,gender_Female,gender_Male,gender_Other,city_Ahmedabad,city_Bangalore,city_Chennai,city_Delhi,city_Hyderabad,city_Jaipur,city_Kolkata,city_Lucknow,city_Mumbai,city_Pune
1,Tammy Lee,34,True,True,False,False,False,False,False,False,False,False,False,True,False,False
2,Jeffrey Eaton,47,True,True,False,False,False,False,False,False,True,False,False,False,False,False
3,Alice Velazquez,58,False,True,False,False,False,False,True,False,False,False,False,False,False,False
4,James Hines Jr.,48,True,True,False,False,False,False,False,False,True,False,False,False,False,False
5,Jeanne Freeman,20,False,False,True,False,False,False,True,False,False,False,False,False,False,False
6,Anthony Savage,70,False,True,False,False,False,False,False,False,False,False,False,False,True,False
7,Lori Steele,33,False,False,False,True,False,False,False,True,False,False,False,False,False,False
8,Richard Taylor,23,True,False,False,True,False,False,False,False,False,False,False,True,False,False
9,Dr. Angela Russo,25,True,False,True,False,False,True,False,False,False,False,False,False,False,False
10,Mrs. Samantha Carr,66,False,False,True,False,False,False,False,False,False,False,False,False,False,True
11,Frederick Moore,29,False,False,False,True,False,False,False,True,False,False,False,False,False,False
12,Steve Cruz,57,True,False,False,True,False,False,True,False,False,False,False,False,False,False
13,Michelle Stephens,45,False,False,True,False,False,False,False,False,False,False,False,False,False,True
14,Megan Bonilla,60,False,True,False,False,False,False,True,False,False,False,False,False,False,False
15,Brittney Becker,22,True,False,True,False,True,False,False,False,False,False,False,False,False,False
16,Cynthia Martin,40,False,False,True,False,True,False,False,False,False,False,False,False,False,False
17,Kathryn Mcdonald,44,True,True,False,False,False,True,False,False,False,False,False,False,False,False
18,Thomas Sosa,52,True,False,True,False,False,False,False,True,False,False,False,False,False,False
19,Allison Murphy,18,True,False,False,True,False,False,False,False,False,False,False,False,True,False
20,Kimberly Hayes,65,True,True,False,False,False,False,False,True,False,False,False,False,False,False
21,Christopher Watson,29,True,False,True,False,False,False,False,False,False,False,True,False,False,False
22,Laura Ritter,54,False,False,True,False,False,False,False,False,False,False,False,False,True,False
23,Gregory Lewis,36,False,False,True,False,False,False,False,False,False,False,False,False,False,True
24,Dylan Jimenez,63,True,False,False,True,False,False,True,False,False,False,False,False,False,False
25,Jennifer Bishop,20,True,False,False,True,False,False,False,False,False,False,False,False,False,True
26,Derek Pearson,69,True,True,False,False,False,True,False,False,False,False,False,False,False,False
